2026/03/13 00:08:22 age inserted          | id=bd345fd5-0fd2-583f-90d1-5744baefb4ee
2026/03/13 00:08:27 gender inserted       | id=f9a213f0-113f-5496-9195-e16dee149a9e
2026/03/13 00:08:27 social_class inserted | id=26dd706d-f3a2-5a7c-a879-b67aecd40109
2026/03/13 00:08:27 target inserted       | id=8816e7f1-1188-5289-a97c-acea414e0e86
2026/03/13 00:08:27 geodata inserted      | id=625c8bb8-05df-50c5-9a62-4de3e76cccb7 target_id=8816e7f1-1188-5289-a97c-acea414e0e86
2026/03/13 00:08:27 OK | key=60dccb1c-101f-4eb5-ae76-8617e51bc9bb partition=0 offset=2321
2026/03/13 00:08:27 age inserted          | id=93f634a1-8c2a-5f91-ad48-c167c6c6f094
2026/03/13 00:08:27 gender inserted       | id=eef1b762-143a-5878-a062-a0ef7e78d0a8
2026/03/13 00:08:27 social_class inserted | id=0121034b-c645-5beb-b4a6-16e735d3ceb4
2026/03/13 00:08:27 target inserted       | id=09d51247-edd0-5879-b339-a74b6f476932
2026/03/13 00:08:27 geodata inserted      | id=0900dc67-b5e0-5c6f-8ae5-0bae63489fcc target_id=09d51247-edd0-5879-b339-a74b6f476932
2026/03/13 00:08:27 OK | key=2a601ebf-43dc-4a7f-8ba2-1ffc3380445b partition=0 offset=2322
2026/03/13 00:08:27 age inserted          | id=1bfde3dc-1965-564d-9b58-32cbd92bd15e
2026/03/13 00:08:27 gender inserted       | id=cae02143-7189-5d8f-b2bd-6f6000f3bc79
2026/03/13 00:08:27 social_class inserted | id=237e4b54-b3af-5a76-87b7-218201a15dc9
2026/03/13 00:08:27 target inserted       | id=28fa2ebe-8c78-57e2-9918-0e58f0e016b4
2026/03/13 00:08:27 geodata inserted      | id=3f82db0a-c499-5375-aaab-01eca8b6a694 target_id=28fa2ebe-8c78-57e2-9918-0e58f0e016b4
2026/03/13 00:08:27 OK | key=a916d077-99d9-4b97-bd76-dfffccb6d163 partition=0 offset=2323
2026/03/13 00:08:27 age inserted          | id=e8363065-8ecc-5935-a0bc-8421c47fc34a
2026/03/13 00:08:27 gender inserted       | id=06e6ecfc-f169-5f7e-b4b9-dcef60a92185
2026/03/13 00:08:27 social_class inserted | id=741a0420-8d3f-5e26-abff-7d290043daa1
2026/03/13 00:08:27 target inserted       | id=e47c1dd5-90fa-5080-86ac-eb0669e6bdbc
2026/03/13 00:08:27 geodata inserted      | id=323a3826-bb17-57dd-abb0-629a3125fd27 target_id=e47c1dd5-90fa-5080-86ac-eb0669e6bdbc
2026/03/13 00:08:27 OK | key=fb0f94ea-fe4c-4b7d-ba08-c4e629c39c51 partition=0 offset=2324
2026/03/13 00:08:27 age inserted          | id=67efb451-e2b9-59ef-a3f8-88eae4b07f31
2026/03/13 00:08:27 gender inserted       | id=71dc8f55-f1ec-5f4e-97db-65f890ab946e
2026/03/13 00:08:27 social_class inserted | id=73615fe5-3826-566d-b394-d9e5ffddc0ee
2026/03/13 00:08:27 target inserted       | id=a9624558-6f42-5f99-9660-e4bcd8366054
2026/03/13 00:08:27 geodata inserted      | id=0961963a-dd10-5fe3-bb51-41f83c861636 target_id=a9624558-6f42-5f99-9660-e4bcd8366054
2026/03/13 00:08:27 OK | key=71f77581-e0fe-42c6-ae26-6568e64d8a75 partition=0 offset=2325
2026/03/13 00:08:27 age inserted          | id=c42cc6ce-fec7-5db1-a087-2144abc885b1
2026/03/13 00:08:28 gender inserted       | id=4b8d6ac9-e33f-5f61-9536-c83165fdb124
2026/03/13 00:08:28 social_class inserted | id=cfaf11d8-5d91-5303-aa38-7eff054a81e7
2026/03/13 00:08:28 target inserted       | id=d5ef4808-6ca1-527f-a71e-1108df4558a1
2026/03/13 00:08:28 geodata inserted      | id=e200359d-7143-504b-8e8f-a79bb3c35665 target_id=d5ef4808-6ca1-527f-a71e-1108df4558a1
2026/03/13 00:08:28 OK | key=153d8cc8-5f6f-4405-9e38-e2f79b07275a partition=0 offset=2326
2026/03/13 00:08:28 age inserted          | id=8253f5bd-8307-5a67-9725-2a11610198c1
2026/03/13 00:08:28 gender inserted       | id=e9506fcf-368a-5df3-adb6-aee414613194
2026/03/13 00:08:28 social_class inserted | id=45cf9151-e2ce-5ede-a681-424f217a283b
2026/03/13 00:08:28 target inserted       | id=a1ba22f7-5418-567d-849b-a4cfaa5f9d21
2026/03/13 00:08:28 geodata inserted      | id=02a85d6d-3b81-51a9-a56c-02fd0cf3336b target_id=a1ba22f7-5418-567d-849b-a4cfaa5f9d21
2026/03/13 00:08:28 OK | key=f167ae1d-e29b-4a12-930e-4c4d3a8d4917 partition=0 offset=2327
2026/03/13 00:08:28 age inserted          | id=e660205e-ad6b-5186-913f-bd56aeb0a1f7
2026/03/13 00:08:28 gender inserted       | id=bd636e33-d7e1-5b20-bbaa-c44367756e1e
2026/03/13 00:08:28 social_class inserted | id=eba18425-cc85-5c26-8237-d154b3017a26
2026/03/13 00:08:28 target inserted       | id=dfafe5c4-54a3-5b7f-a0a7-289f23c8600a
2026/03/13 00:08:28 geodata inserted      | id=61570522-e263-53f0-9d1d-cae7e1d7b0e5 target_id=dfafe5c4-54a3-5b7f-a0a7-289f23c8600a
2026/03/13 00:08:28 OK | key=f108c732-87f3-4f94-a9c8-4d3b8bb9b749 partition=0 offset=2328
2026/03/13 00:08:28 age inserted          | id=0ac14a8f-d329-5b0f-a148-d7b2e0fb8326
2026/03/13 00:08:28 gender inserted       | id=20e7d27d-edd1-5c98-bd01-7a29c08dd119
2026/03/13 00:08:28 social_class inserted | id=55e0f5ba-8cf7-5391-8206-67610cedae5c
2026/03/13 00:08:28 target inserted       | id=1351f56f-9e52-54db-a1bc-5501c25ad0fd
2026/03/13 00:08:28 geodata inserted      | id=7665c9f7-cb16-5959-affe-97f4f894a8cd target_id=1351f56f-9e52-54db-a1bc-5501c25ad0fd
2026/03/13 00:08:28 OK | key=1b51b83c-cb3c-45dc-8e12-6f74a8b89912 partition=0 offset=2329
2026/03/13 00:08:28 age inserted          | id=b4163c8f-9307-563a-895a-8d96ed00eab1
2026/03/13 00:08:28 gender inserted       | id=794faad0-2051-5502-af7e-23943477cd6b
2026/03/13 00:08:28 social_class inserted | id=38d30b6d-2b77-558f-88be-87b87f7d2eff
2026/03/13 00:08:28 target inserted       | id=53cce3c5-58d5-522d-9dfa-507c7fae20c2
2026/03/13 00:08:28 geodata inserted      | id=5d2191bb-bcd9-5a42-b313-683e989056a2 target_id=53cce3c5-58d5-522d-9dfa-507c7fae20c2
2026/03/13 00:08:28 OK | key=51df5507-7ead-4aad-93e5-aa66ef21637c partition=0 offset=2330
2026/03/13 00:08:28 age inserted          | id=f1a08133-582b-5dca-9812-ae8ec2e90b68
2026/03/13 00:08:28 gender inserted       | id=8dad2758-710f-586d-999c-551543bbc6a9
2026/03/13 00:08:28 social_class inserted | id=9f886fa9-02a0-5e6e-b9a0-c36410a0a41d
2026/03/13 00:08:28 target inserted       | id=3537f4cd-68b8-5ca3-a299-65ff0df89ebe
2026/03/13 00:08:28 geodata inserted      | id=894b7bf7-dfeb-5fc3-83cb-f93f20484cb9 target_id=3537f4cd-68b8-5ca3-a299-65ff0df89ebe
2026/03/13 00:08:28 OK | key=f8d3be7e-9da8-4054-9715-7053b81707f9 partition=0 offset=2331
2026/03/13 00:08:28 age inserted          | id=b1e604d0-2df5-50b9-8f91-80f1d9422deb
2026/03/13 00:08:28 gender inserted       | id=95c5fd42-b2c5-5e70-b387-70ae6d0692b9
2026/03/13 00:08:28 social_class inserted | id=4f9b153d-1941-5317-811f-5655a54862b3
2026/03/13 00:08:28 target inserted       | id=d2b9d839-8ed4-5809-bc32-f79700d38fb4
2026/03/13 00:08:28 geodata inserted      | id=843af829-0318-5880-a1a9-9d933c2463b9 target_id=d2b9d839-8ed4-5809-bc32-f79700d38fb4
2026/03/13 00:08:28 OK | key=8494393b-ab8f-4dd7-9807-3b50fc86dfb2 partition=0 offset=2332
2026/03/13 00:08:28 age inserted          | id=b9f953d7-fe6c-596c-84e4-7d44530b0d92
2026/03/13 00:08:28 gender inserted       | id=69b067cb-456f-5303-91f4-e63751b351b6
2026/03/13 00:08:28 social_class inserted | id=1b875999-4607-595b-9a00-d8516424e92b
2026/03/13 00:08:28 target inserted       | id=f10d5cbc-f7f2-5ef5-8909-f55c2ded84ff
2026/03/13 00:08:28 geodata inserted      | id=55b989ac-048b-52e2-8de6-2b9db50e645f target_id=f10d5cbc-f7f2-5ef5-8909-f55c2ded84ff
2026/03/13 00:08:28 OK | key=71aaa76b-72b7-42ba-a0a0-a232dc755f0e partition=0 offset=2333
2026/03/13 00:08:28 age inserted          | id=2ba1ce7c-e6da-5bf6-8b83-e2d3c00413a5
2026/03/13 00:08:28 gender inserted       | id=5a044f6e-92d8-5bd2-88bf-916278efab0b
2026/03/13 00:08:28 social_class inserted | id=8294b573-3b8f-5485-95a1-ccc91a435ff4
2026/03/13 00:08:28 target inserted       | id=842cc07e-3a39-538a-bcfa-4d4ee7f521f6
2026/03/13 00:08:28 geodata inserted      | id=95efd0d2-80a5-5848-a345-1103c415ce56 target_id=842cc07e-3a39-538a-bcfa-4d4ee7f521f6
2026/03/13 00:08:28 OK | key=59ea3f9b-16d5-4bf2-b897-2f8263f4c9f3 partition=0 offset=2334
2026/03/13 00:08:28 age inserted          | id=da8220c8-7a01-54d2-8009-bb5b5a1c303d
2026/03/13 00:08:28 gender inserted       | id=f69628b0-bcaf-587f-a768-d30a830eda9f
2026/03/13 00:08:28 social_class inserted | id=5a55a7ad-8267-5a45-8d49-b7427e43903e
2026/03/13 00:08:28 target inserted       | id=0386ede4-80ce-5fb2-adde-cbd5bf01b3f7
2026/03/13 00:08:28 geodata inserted      | id=b3093b17-b680-56dd-8396-4453c3d996d4 target_id=0386ede4-80ce-5fb2-adde-cbd5bf01b3f7
2026/03/13 00:08:28 OK | key=3d954e89-624e-4de1-8cf8-557a45e1fcee partition=0 offset=2335
2026/03/13 00:08:28 age inserted          | id=52b9e298-58de-5cb1-b181-dac292b32ff1
2026/03/13 00:08:28 gender inserted       | id=2e5c2762-d6fc-56a2-b3a1-a191bb92e9bb
2026/03/13 00:08:28 social_class inserted | id=46f188a7-de8d-5073-a61b-2be079cbee63
2026/03/13 00:08:28 target inserted       | id=8f2d1bbd-3bfe-565f-9414-e1a02d5e3b86
2026/03/13 00:08:28 geodata inserted      | id=c6bff90e-4e7e-54f3-a123-64723322e323 target_id=8f2d1bbd-3bfe-565f-9414-e1a02d5e3b86
2026/03/13 00:08:28 OK | key=b2ee7bfd-b5d3-403d-a965-4ddb4820761d partition=0 offset=2336
2026/03/13 00:08:28 age inserted          | id=18a100a4-4a32-5e82-a53c-60acd94083ee
2026/03/13 00:08:28 gender inserted       | id=5d5665f1-e2ad-5b08-ab85-1aa6fc7f7d28
2026/03/13 00:08:28 social_class inserted | id=d1b4d9ca-35a7-526a-bad4-f4348433e7d8
2026/03/13 00:08:28 target inserted       | id=f4bd7be6-9912-52e8-beb9-95a0fccad213
2026/03/13 00:08:28 geodata inserted      | id=67491278-9084-5909-a94a-4a6be608bd08 target_id=f4bd7be6-9912-52e8-beb9-95a0fccad213
2026/03/13 00:08:28 OK | key=1fde8e94-2963-48d6-abde-8ee139506f86 partition=0 offset=2337
2026/03/13 00:08:28 age inserted          | id=9374a5d8-7c69-53a7-b135-4d4cd53b597c
2026/03/13 00:08:29 gender inserted       | id=f72d3298-cfba-5e9d-b6b4-7519ae17d340
2026/03/13 00:08:29 social_class inserted | id=db20b378-80ab-549d-93c7-06f3eb11e788
2026/03/13 00:08:29 target inserted       | id=b8f8a431-3471-54c9-896a-faf974bdaca1
2026/03/13 00:08:29 geodata inserted      | id=3353091d-f6d5-57e6-8430-6c0378ddbb6c target_id=b8f8a431-3471-54c9-896a-faf974bdaca1
2026/03/13 00:08:29 OK | key=78b28b2d-5c0d-4287-bbba-1f6231e79686 partition=0 offset=2338
2026/03/13 00:08:29 age inserted          | id=38cd0248-7028-5763-8c6c-90561adf9205
2026/03/13 00:08:29 gender inserted       | id=3c26a7df-0e2e-56de-b87d-1601860cb917
2026/03/13 00:08:29 social_class inserted | id=a3268533-d84e-546c-b101-c568d7d01903
2026/03/13 00:08:29 target inserted       | id=5e5ce1e9-e6d5-588b-a859-ae35b4b64662
2026/03/13 00:08:29 geodata inserted      | id=2c599ef1-121b-55ef-abb6-8cf994330a71 target_id=5e5ce1e9-e6d5-588b-a859-ae35b4b64662
2026/03/13 00:08:29 OK | key=73ca74bb-1a71-4e87-8985-2bd46f5933b6 partition=0 offset=2339
2026/03/13 00:08:29 age inserted          | id=8af8de7b-4bd4-5395-9143-65d48115283d
2026/03/13 00:08:29 gender inserted       | id=d37199a3-e859-54ca-a3a3-7a9908b2c134
2026/03/13 00:08:29 social_class inserted | id=4b37b650-ccec-5235-a8dd-bbf4ee1a06c0
2026/03/13 00:08:29 target inserted       | id=dcd425be-dd7b-5019-8b70-a6ccefe85bbd
2026/03/13 00:08:29 geodata inserted      | id=1afe2791-05ab-5c16-ac63-ce8a2d8e92af target_id=dcd425be-dd7b-5019-8b70-a6ccefe85bbd
2026/03/13 00:08:29 OK | key=6fa9e378-dade-4c3c-8bcb-bcb5f4cebd6e partition=0 offset=2340
2026/03/13 00:08:29 age inserted          | id=501d9fa9-914e-5838-beb4-0347b44bb0a4
2026/03/13 00:08:29 gender inserted       | id=9f0d4222-2ae9-53dc-ad41-53a247534561
2026/03/13 00:08:29 social_class inserted | id=5520c06c-9187-53f1-a9ec-6830ad9ad173
2026/03/13 00:08:29 target inserted       | id=de910227-40b5-5ca8-9fcc-49592861bf20
2026/03/13 00:08:29 geodata inserted      | id=ac55505b-ce09-54ca-b30a-156f3f6d1ccc target_id=de910227-40b5-5ca8-9fcc-49592861bf20
2026/03/13 00:08:29 OK | key=5b8aae9e-4cfc-4e09-94dc-7bfec10fb30e partition=0 offset=2341
2026/03/13 00:08:29 age inserted          | id=67775e50-0144-51a3-adfe-4fa18d753ee6
2026/03/13 00:08:29 gender inserted       | id=3a6358cb-62dd-5c83-810a-b068328f98e6
2026/03/13 00:08:29 social_class inserted | id=9e7b0b69-1bff-5d59-ac15-7bd95524cb6c
2026/03/13 00:08:29 target inserted       | id=cd6c2b0d-af6c-5b5d-b1d3-8b8a1286174f
2026/03/13 00:08:29 geodata inserted      | id=8bd5e9b1-2181-5b9b-bb6a-9d9115006e5f target_id=cd6c2b0d-af6c-5b5d-b1d3-8b8a1286174f
2026/03/13 00:08:29 OK | key=8c3537c1-40be-43bd-86e1-2b6f93f97804 partition=0 offset=2342
2026/03/13 00:08:29 age inserted          | id=8149d852-d918-5c34-a2f5-d43ea554514f
2026/03/13 00:08:29 gender inserted       | id=c73f60ac-f09e-5ad1-b563-f6dfbeda66b7
2026/03/13 00:08:29 social_class inserted | id=2d564ba1-5933-5625-bc93-cc094d434dc9
2026/03/13 00:08:29 target inserted       | id=e0477857-60f8-53a9-9c1f-c68e42dff8ac
2026/03/13 00:08:29 geodata inserted      | id=6e976971-7afd-563c-b71c-e2755438b6cb target_id=e0477857-60f8-53a9-9c1f-c68e42dff8ac
2026/03/13 00:08:29 OK | key=b7918a5d-b4b8-4d04-b4c5-fc9d281101d4 partition=0 offset=2343
2026/03/13 00:08:29 age inserted          | id=837b6772-7f22-50fe-9bf7-0245525a4e3e
2026/03/13 00:08:29 gender inserted       | id=e50b997f-dc1e-5bbb-a88a-4f3711dae710
2026/03/13 00:08:29 social_class inserted | id=61d737ae-5210-5bfe-ba66-7be7eb948089
2026/03/13 00:08:29 target inserted       | id=38b9fda1-9581-568e-8a7a-633f8e773142
2026/03/13 00:08:29 geodata inserted      | id=70ccc4f1-ab13-5273-aeef-e6f20b85a0d8 target_id=38b9fda1-9581-568e-8a7a-633f8e773142
2026/03/13 00:08:29 OK | key=b7df9581-1c05-4424-9698-b0063c92a5c3 partition=0 offset=2344
2026/03/13 00:08:29 age inserted          | id=009c993e-c508-5f33-8122-d9ce7496c036
2026/03/13 00:08:29 gender inserted       | id=fe819adb-ddaa-5ed0-88e9-e47537ff91e0
2026/03/13 00:08:29 social_class inserted | id=9cffce37-eecf-50c1-bdb4-8e20be2af325
2026/03/13 00:08:29 target inserted       | id=56b69f4c-7b89-58d6-b3e3-f88bb2bc9f26
2026/03/13 00:08:29 geodata inserted      | id=a6855933-96b6-5ca1-ab54-44975388f81a target_id=56b69f4c-7b89-58d6-b3e3-f88bb2bc9f26
2026/03/13 00:08:29 OK | key=d9947654-179d-4df0-92d1-47a97fa7789a partition=0 offset=2345
2026/03/13 00:08:29 age inserted          | id=a19edd75-cf2f-572c-80df-2d22babdc266
2026/03/13 00:08:29 gender inserted       | id=0ad4007e-c8e8-5365-9f9a-eff047509a8e
2026/03/13 00:08:29 social_class inserted | id=4374dd37-7616-5fc4-b122-389aa768a80d
2026/03/13 00:08:29 target inserted       | id=d42f1108-9898-5e79-8146-a7b46fee03a1
2026/03/13 00:08:29 geodata inserted      | id=96a71e71-6796-53d9-b7f1-a20411aacd3b target_id=d42f1108-9898-5e79-8146-a7b46fee03a1
2026/03/13 00:08:29 OK | key=2b4bf271-8986-4c3b-89d5-10664c238520 partition=0 offset=2346
2026/03/13 00:08:29 age inserted          | id=242ef934-0de7-5c2b-9cbe-5e045d2ceb34
2026/03/13 00:08:29 gender inserted       | id=0369fa81-e2e9-5c00-9142-44bfeb89b8df
2026/03/13 00:08:29 social_class inserted | id=8d16abee-201d-51a6-9160-6e3c626a8ed1
2026/03/13 00:08:29 target inserted       | id=a5f93d0e-dbda-5e3f-8660-af21cefcca3e
2026/03/13 00:08:29 geodata inserted      | id=7acb9376-f673-5d16-8999-13278e87aabd target_id=a5f93d0e-dbda-5e3f-8660-af21cefcca3e
2026/03/13 00:08:29 OK | key=9091e59e-c8f6-4ea1-b6de-69e688746808 partition=0 offset=2347
2026/03/13 00:08:29 age inserted          | id=fc2cfb74-d652-5e39-b429-4fa49ffea0b1
2026/03/13 00:08:29 gender inserted       | id=c6bbeba8-36bb-5756-ba2d-de5d612da3a6
2026/03/13 00:08:29 social_class inserted | id=a71b045b-f84a-5d4a-9298-ec0a35440ecf
2026/03/13 00:08:29 target inserted       | id=935d00f7-0706-59d0-beaa-f55c27560d82
2026/03/13 00:08:29 geodata inserted      | id=db3e6585-ed31-5786-bcb3-4b856d2c2b85 target_id=935d00f7-0706-59d0-beaa-f55c27560d82
2026/03/13 00:08:29 OK | key=8b93e92d-d74c-4def-9de4-696e75882cd8 partition=0 offset=2348
2026/03/13 00:08:29 age inserted          | id=e1d1c2d2-48fa-56bc-bacc-c10f17073a57
2026/03/13 00:08:29 gender inserted       | id=6233ae6c-688c-5210-bd28-499a5571b6b5
2026/03/13 00:08:29 social_class inserted | id=a26f3807-aac8-50ff-9a24-e84c5764c36f
2026/03/13 00:08:29 target inserted       | id=c5b270a4-e849-550d-b8a2-929ba243be95
2026/03/13 00:08:30 geodata inserted      | id=27be03d0-facb-549a-91cd-ab45d064b53d target_id=c5b270a4-e849-550d-b8a2-929ba243be95
2026/03/13 00:08:30 OK | key=8d29f927-e233-4a30-8381-2783aee6b80e partition=0 offset=2349
2026/03/13 00:08:30 age inserted          | id=b0e31e52-5f85-5642-bd50-f9769cf9fdca
2026/03/13 00:08:30 gender inserted       | id=38f83cb1-907a-52d7-a8ef-bb29ab3029dd
2026/03/13 00:08:30 social_class inserted | id=e833b72f-8f1f-515c-8826-d6198d4bb274
2026/03/13 00:08:30 target inserted       | id=023b2470-019a-5360-ad9f-7c9d82d012a8
2026/03/13 00:08:30 geodata inserted      | id=7e1df2de-fe23-5e8c-a889-8101efd36204 target_id=023b2470-019a-5360-ad9f-7c9d82d012a8
2026/03/13 00:08:30 OK | key=d53c6494-8c45-40be-8938-d89ae60d8c93 partition=0 offset=2350
2026/03/13 00:08:30 age inserted          | id=aea02f14-d91a-5bb5-8588-7bdf0be32e43
2026/03/13 00:08:30 gender inserted       | id=048e7b4c-2c64-5f7d-8c34-399db033637a
2026/03/13 00:08:30 social_class inserted | id=a9b54cd8-c664-5f5d-a02a-0b4fc60744c1
2026/03/13 00:08:30 target inserted       | id=66f43d06-6be0-5443-bab2-43f391ddf2f1
2026/03/13 00:08:30 geodata inserted      | id=19876e1e-167d-54e1-b76d-40520229c788 target_id=66f43d06-6be0-5443-bab2-43f391ddf2f1
2026/03/13 00:08:30 OK | key=1326ad8b-7492-4d48-9a5e-2640cb71f8d8 partition=0 offset=2351
2026/03/13 00:08:30 age inserted          | id=2ccc372a-028b-5103-92f2-ee405294063c
2026/03/13 00:08:30 gender inserted       | id=ad58460a-ceff-513c-b770-be4703196a92
2026/03/13 00:08:30 social_class inserted | id=2bfc29f7-30b4-5ff6-a554-ee2a65dc67ed
2026/03/13 00:08:30 target inserted       | id=3c26031f-a609-5fec-bb93-de36e43ed780
2026/03/13 00:08:30 geodata inserted      | id=7a5fc90c-7c58-5ce8-a363-994db2566a51 target_id=3c26031f-a609-5fec-bb93-de36e43ed780
2026/03/13 00:08:30 OK | key=9413d79c-7861-470a-8fcc-45220042161f partition=0 offset=2352
2026/03/13 00:08:30 age inserted          | id=76ea28be-2e5a-5f87-a18b-7c03554067f3
2026/03/13 00:08:30 gender inserted       | id=04dfedfc-ce36-5f1e-b2ef-1f0900a97a03
2026/03/13 00:08:30 social_class inserted | id=2e2055ac-bfab-57e6-b6ac-23b5a4e5b0e9
2026/03/13 00:08:30 target inserted       | id=3855e427-6df8-523f-8a25-1d9eea1ef704
2026/03/13 00:08:30 geodata inserted      | id=56d9c83d-fd6c-526b-810c-afe3af5bc28e target_id=3855e427-6df8-523f-8a25-1d9eea1ef704
2026/03/13 00:08:30 OK | key=74fa0b9e-8ee6-4414-be6a-8113147269a8 partition=0 offset=2353
2026/03/13 00:08:30 age inserted          | id=1c47c213-92ff-516f-bbcc-b03d419f8c84
2026/03/13 00:08:30 gender inserted       | id=e678f709-3eb5-59d3-a57b-95a8978293e6
2026/03/13 00:08:30 social_class inserted | id=d0a6f306-5d21-5247-9132-7a5b169f8ceb
2026/03/13 00:08:30 target inserted       | id=87ffacbf-0268-5e0a-b89b-f2d0571649dd
2026/03/13 00:08:30 geodata inserted      | id=647e2ef5-cae7-50ee-830c-73a1e827815a target_id=87ffacbf-0268-5e0a-b89b-f2d0571649dd
2026/03/13 00:08:30 OK | key=9c56e484-b022-4c70-b4b9-dcf010a9362b partition=0 offset=2354
2026/03/13 00:08:30 age inserted          | id=4bad04db-6cb2-56f3-a01d-32ece82cbf1b
2026/03/13 00:08:30 gender inserted       | id=7058cf94-e657-5407-9029-8545694f74dd
2026/03/13 00:08:30 social_class inserted | id=807d6fb4-85d1-5633-b2e6-13047461ad20
2026/03/13 00:08:30 target inserted       | id=288a82ee-b33d-522c-8e34-9a22840cdeb1
2026/03/13 00:08:30 geodata inserted      | id=6ea9c4f5-7367-5e8e-a772-4a629b791677 target_id=288a82ee-b33d-522c-8e34-9a22840cdeb1
2026/03/13 00:08:30 OK | key=c1a65b53-f082-434a-b700-e04799bd3d24 partition=0 offset=2355
2026/03/13 00:08:30 age inserted          | id=85f62535-bab1-51c7-8f03-0f41bed94f44
2026/03/13 00:08:30 gender inserted       | id=57b779af-fbb5-5990-972d-8d060c6d3334
2026/03/13 00:08:30 social_class inserted | id=c1003dbe-8460-52c4-834b-4ef4490236d7
2026/03/13 00:08:30 target inserted       | id=5c8aefb2-1ea2-5a80-a4b1-b034dfb1d08c
2026/03/13 00:08:30 geodata inserted      | id=31786660-6def-5f7c-9942-3c8d3665df16 target_id=5c8aefb2-1ea2-5a80-a4b1-b034dfb1d08c
2026/03/13 00:08:30 OK | key=4532df82-4433-482d-874b-9d6cf8790342 partition=0 offset=2356
2026/03/13 00:08:30 age inserted          | id=80f68188-0ad5-5fbe-bf52-0730c8c5e4de
2026/03/13 00:08:30 gender inserted       | id=2eb5e755-5227-5847-9349-718314277cb7
2026/03/13 00:08:30 social_class inserted | id=ac1bc8a7-eaf2-5cb7-bddc-defd05f88f67
2026/03/13 00:08:30 target inserted       | id=19dcbe31-6480-5a0a-ba2c-511560d462ee
2026/03/13 00:08:30 geodata inserted      | id=0fcd8e7a-cfa4-5510-a361-f486d1ddf598 target_id=19dcbe31-6480-5a0a-ba2c-511560d462ee
2026/03/13 00:08:30 OK | key=0fd12129-b9fc-4199-8aa4-5cd7b11934ca partition=0 offset=2357
2026/03/13 00:08:30 age inserted          | id=00c1589f-c3ce-526b-b92c-6abaa20cdf7d
2026/03/13 00:08:30 gender inserted       | id=ca1acfc6-0d14-5bd3-b454-9c228b37c54b
2026/03/13 00:08:30 social_class inserted | id=4e309b6a-b75d-55c8-b81b-b0a04fc1b15b
2026/03/13 00:08:30 target inserted       | id=38543ca0-9292-5882-baa4-f4cf63eee439
2026/03/13 00:08:30 geodata inserted      | id=7a4f6165-487e-506f-8ed1-3b095a28ea87 target_id=38543ca0-9292-5882-baa4-f4cf63eee439
2026/03/13 00:08:30 OK | key=68f5271a-7a71-4244-a2bf-93f8e7d8b645 partition=0 offset=2358
2026/03/13 00:08:30 age inserted          | id=7820ce6c-8631-5864-8205-54b38831d897
2026/03/13 00:08:30 gender inserted       | id=1c2868c0-45da-5f9a-956e-e79f48259352
2026/03/13 00:08:30 social_class inserted | id=8cbe96e9-a2c4-5c15-8721-006c92a05768
2026/03/13 00:08:30 target inserted       | id=c113eaa5-78e9-50f9-86fa-292b10cf308e
2026/03/13 00:08:30 geodata inserted      | id=417456b0-a97b-5bc9-ad52-6df05a70cdac target_id=c113eaa5-78e9-50f9-86fa-292b10cf308e
2026/03/13 00:08:30 OK | key=7e9fcec3-9721-441a-9cb0-1bd0768061a1 partition=0 offset=2359
2026/03/13 00:08:30 age inserted          | id=3a693cee-57fe-5fed-9c74-39c95481f019
2026/03/13 00:08:30 gender inserted       | id=4950bfb4-3ac8-5b8f-96f5-1dd7c3a5b305
2026/03/13 00:08:30 social_class inserted | id=39102bd8-41e0-52d4-a3f1-2a240b4ae511
2026/03/13 00:08:30 target inserted       | id=423e4db7-d02f-538a-84f5-7f415f59ee28
2026/03/13 00:08:30 geodata inserted      | id=64ea93b1-9dfe-5dd7-9c7e-5ebecc48c6fe target_id=423e4db7-d02f-538a-84f5-7f415f59ee28
2026/03/13 00:08:30 OK | key=18df4585-b79e-4f0e-865d-dc37ccbf4bb9 partition=0 offset=2360
2026/03/13 00:08:30 age inserted          | id=e4a8d7c1-2ed4-5dcd-af89-2099a97c8282
2026/03/13 00:08:30 gender inserted       | id=951a9784-885d-5e15-8b83-f26a0c972784
2026/03/13 00:08:31 social_class inserted | id=580ed027-b0d0-5201-8b9b-1d50f431f01b
2026/03/13 00:08:31 target inserted       | id=8112b313-660d-5dfb-a96e-6ea2eb21fb38
2026/03/13 00:08:31 geodata inserted      | id=a4a46bcc-e2e9-5c3e-8201-29abc2781a4f target_id=8112b313-660d-5dfb-a96e-6ea2eb21fb38
2026/03/13 00:08:31 OK | key=35b66ddd-fdb3-45e6-a748-5b11add110a9 partition=0 offset=2361
2026/03/13 00:08:31 age inserted          | id=8a2d2bbb-248f-5d31-a781-2a53e887cb67
2026/03/13 00:08:31 gender inserted       | id=042488b2-86de-59c8-b5fb-80d957a4c9bf
2026/03/13 00:08:31 social_class inserted | id=8be69e4f-cf53-5de3-885d-e49293e382cc
2026/03/13 00:08:31 target inserted       | id=4183dc87-dcbf-5fdc-bbdc-3389330844b2
2026/03/13 00:08:31 geodata inserted      | id=9308f06e-0c82-564f-8690-e12d61011ae4 target_id=4183dc87-dcbf-5fdc-bbdc-3389330844b2
2026/03/13 00:08:31 OK | key=882cb26b-05a5-470c-9996-bd7577379ea2 partition=0 offset=2362
2026/03/13 00:08:31 age inserted          | id=3b77038f-011a-53c1-bcf8-277a0c756cfb
